BIG_MESSAGE.EXTRACTION.ACTIVATED	提取点已激活
TUTORIAL.EXTRACTION_POINTS.TEXT	激活并用贵重物品填满<b><u>提取点</u></b>。
TUTORIAL.EXTRACTION_POINTS.FOCUS_TEXT	提取贵重物品！
TUTORIAL.EXTRACTION_POINTS.DUMMY_TEXT	你好！用贵重物品填满<b><u>提取点</u></b>！
TUTORIAL.TRUCK.TEXT	进入<b><u>卡车</u></b>并发送一条信息给你的老板来离开一个关卡。
TUTORIAL.TRUCK.FOCUS_TEXT	进到卡车里并发送一条信息！
TUTORIAL.TRUCK.DUMMY_TEXT	走进卡车，用[鼠标左键]抓取并按住卡车屏幕上的信息区域来发送一条信息！
TUTORIAL.HEALING.TEXT	通过抓取其他玩家的脖子来和他们分享你的生命值！
TUTORIAL.REVIVING.TEXT	通过提取其他玩家的头来复活他们！
TUTORIAL.CHARGING_STATION.TEXT	为<b><u>充电站</u></b>购买<b><u>能量水晶</u></b>来给你的装备充能和维修！
TUTORIAL.ONLY_ONE_EXTRACTION.TEXT	一次只能激活一个<b><u>提取点</u></b>，用你的地图找到当前那个！
TUTORIAL.CHAT.TEXT	按[聊天]来打开聊天！很有趣！
TUTORIAL.FINAL_EXTRACTION.TEXT	是时候离开了，卡车治疗你并复活携带的玩家头！
TUTORIAL.MULTIPLE_EXTRACTIONS.TEXT	这个关卡有多个<b><u>提取点</u></b>，你必须把它们全部清掉来离开！
TUTORIAL.SHOP.TEXT	这是<b><u>商店</u></b>，提取物品来购买。没有伤害是永久的！
TUTORIAL.EXPRESSIONS.TEXT	使用[5]/[6]/[7]/[8]/[9]/[0]来做出表情。你甚至可以混合！
TUTORIAL.OVERCHARGE_1.TEXT	抓取敌人现在将导致超载，满了之后你会被炸飞。
TUTORIAL.OVERCHARGE_2.TEXT	多个人将减弱超载效果。
TUTORIAL.HEAD_SPECTATE_1.TEXT	当死亡时你的头在充能，使用那个充能来短暂附身你的头。
TUTORIAL.HEAD_SPECTATE_2.TEXT	当附身你的头时，按住[空格]来跳跃。按住跳得更高，代价更大。
TUTORIAL.ENEMY_ELSA.TEXT	摸狗！
MOON_UI.SKIP	[Esc]跳过
TUTORIAL.EXTRACTION_REMINDER.TEXT	用贵重物品填满<b><u>提取点</u></b>。
TUTORIAL.COSMETIC_WORLD_OBJECT_1.TEXT	这是一个<b><u>外观装饰箱子</u></b>，提取它来获取奖励。
TUTORIAL.COSMETIC_WORLD_OBJECT_2.TEXT	如果它损坏了，你可以使用你自己的生命值来<b><u>治疗</u></b>它。
TUTORIAL.COSMETIC_SHOP_MACHINE.TEXT	把<b><u>纳税代币</u></b>插入商店机器来认领你的奖励。
FOCUS.PREFIX	提示
FOCUS.SHOP.INTRO	在商店里买东西
FOCUS.TRUCK.INTRO	享受旅程，给东西充能并装备起来！
COSMETIC_SHOP_MACHINE.INFO_TEXT	按[E]来插入纳税代币
ITEM.CART_CANNON	C.A.R.T. 加农炮
ITEM.CART_LASER	C.A.R.T. 激光炮
ITEM.CART_MEDIUM	C.A.R.T.运输车
ITEM.CART_SMALL	C.A.R.T.小车
ITEM.DRONE_BATTERY	充能无人机
ITEM.DRONE_FEATHER	羽毛无人机
ITEM.DRONE_INDESTRUCTIBLE	无敌无人机
ITEM.DRONE_TORQUE	滚动无人机
ITEM.DRONE_ZERO_GRAVITY	零重力无人机
ITEM.DUCK_BUCKET	鸭子桶
ITEM.EXTRACTION_TRACKER	提取追踪器
ITEM.GRENADE_DUCT_TAPED	胶带捆绑手榴弹
ITEM.GRENADE_EXPLOSIVE	手榴弹
ITEM.GRENADE_HUMAN	人类手榴弹
ITEM.GRENADE_SHOCKWAVE	冲击波手榴弹
ITEM.GRENADE_STUN	眩晕手榴弹
ITEM.GUN_HANDGUN	枪
ITEM.GUN_LASER	光子轰击器
ITEM.GUN_SHOCKWAVE	脉冲手枪
ITEM.GUN_SHOTGUN	霰弹枪
ITEM.GUN_STUN	电击枪
ITEM.GUN_TRANQ	麻醉枪
ITEM.HEALTH_PACK_LARGE	大医疗包 (100)
ITEM.HEALTH_PACK_MEDIUM	中医疗包 (50)
ITEM.HEALTH_PACK_SMALL	小医疗包 (25)
ITEM.LEAF_BLOWER	吹风机
ITEM.MELEE_BASEBALL_BAT	棒球棍
ITEM.MELEE_FRYING_PAN	铁锅
ITEM.MELEE_INFLATABLE_HAMMER	充气锤
ITEM.MELEE_SLEDGE_HAMMER	大锤
ITEM.MELEE_STUN_BATON	电击棒
ITEM.MELEE_SWORD	剑
ITEM.MINE_EXPLOSIVE	爆炸地雷
ITEM.MINE_SHOCKWAVE	冲击波地雷
ITEM.MINE_STUN	陷阱
ITEM.ORB_ZERO_GRAVITY	零重力球
ITEM.PHASE_BRIDGE	相位桥
ITEM.POWER_CRYSTAL	能量水晶
ITEM.REVIVE_ITEM	除颤仪
ITEM.RUBBER_DUCK	橡胶鸭
ITEM.STAFF_TORQUE	滚动法杖
ITEM.STAFF_VOID	虚空法杖
ITEM.STAFF_ZERO_GRAVITY	零重力法杖
ITEM.UPGRADE_DEATH_HEAD_BATTERY	死亡头部电池升级
ITEM.UPGRADE_MAP_PLAYER_COUNT	地图玩家剩余数量升级
ITEM.UPGRADE_PLAYER_CROUCH_REST	下蹲回体升级
ITEM.UPGRADE_PLAYER_ENERGY	体力升级
ITEM.UPGRADE_PLAYER_EXTRA_JUMP	额外跳跃升级
ITEM.UPGRADE_PLAYER_GRAB_RANGE	抓取范围升级
ITEM.UPGRADE_PLAYER_GRAB_STRENGTH	力量升级
ITEM.UPGRADE_PLAYER_HEALTH	生命升级
ITEM.UPGRADE_PLAYER_SPRINT_SPEED	冲刺速度升级
ITEM.UPGRADE_PLAYER_TUMBLE_CLIMB	翻滚抓墙升级
ITEM.UPGRADE_PLAYER_TUMBLE_LAUNCH	翻滚速度升级
ITEM.UPGRADE_PLAYER_TUMBLE_WINGS	翻滚滑翔升级
ITEM.VALUABLE_TRACKER	贵重物品追踪器
ITEM.VEHICLE_SEMISCOOTER	搬运车
ITEM.VEHICLE_SEMISCOOTER_SMALL	侦察兵
ITEM.WALKIE_TALKIE	半机械对讲机
ITEM.WALKIE_TALKIE_BOX	半机械对讲机套件
STATS.UPGRADES.HEADER	升级列表
LEVEL.HEADER	关卡
STATS.UPGRADE.CROUCH_REST	下蹲回体
STATS.UPGRADE.DEATH_HEAD_BATTERY	死亡头部电池
STATS.UPGRADE.EXTRA_JUMP	额外跳跃
STATS.UPGRADE.HEALTH	生命
STATS.UPGRADE.LAUNCH	翻滚速度
STATS.UPGRADE.MAP_PLAYER_COUNT	玩家剩余数量
STATS.UPGRADE.RANGE	抓取范围
STATS.UPGRADE.SPEED	冲刺速度
STATS.UPGRADE.STAMINA	体力
STATS.UPGRADE.STRENGTH	力量
STATS.UPGRADE.TUMBLE_CLIMB	翻滚抓墙
STATS.UPGRADE.TUMBLE_WINGS	翻滚滑翔
ENEMY.ANIMAL	野兽
ENEMY.BANG	轰鸣者
ENEMY.BEAMER	小丑
ENEMY.BIRTHDAY_BOY	庆生小子
ENEMY.BOMB_THROWER	投弹者
ENEMY.BOWTIE	领结客
ENEMY.CEILING_EYE	窥视者
ENEMY.DUCK	顶级掠食者
ENEMY.ELSA	可爱小狗
ENEMY.FLOATER	念能者
ENEMY.GNOME	地精
ENEMY.HEAD	大头
ENEMY.HEAD_GRABBER	猎头者
ENEMY.HEART_HUGGER	抱心者
ENEMY.HIDDEN	隐匿者
ENEMY.HUNTER	猎人
ENEMY.OOGLY	怪脸仔
ENEMY.ROBE	长袍
ENEMY.RUNNER	死神
ENEMY.SHADOW	老奶
ENEMY.SLOW_MOUTH	喷吐怪
ENEMY.SLOW_WALKER	跋涉者
ENEMY.SPINNY	赌徒
ENEMY.THIN_MAN	影童
ENEMY.TICK	蜱虫
ENEMY.TRICYCLE	贝拉
ENEMY.TUMBLER	主厨
ENEMY.UPSCREAM	尖啸者
ENEMY.VALUABLE_THROWER	顽童
UPGRADE_STAND.INTERACT	按住来重掷 ({cost})
ARENA.WINNER.KING	失败者之王！
ARENA.WINNER.LOSERS	每个人都是失败者！
ARENA.MESSAGE.LAST_LOSER_STANDING	最后的失败者
ARENA.MESSAGE.GAME_OVER	游戏结束
SPECTATE_LIST.HEADER	破碎的人们：
ITEM.CART.MODE_STRONG	模式：强力
ITEM.CART.MODE_WEAK	模式：弱
